没意思	0
可不是	1
难	2
要命	3
赔	4
三辆	5
奔驰	6
蛋	7
吖	8
哈哈哈哈哈哈	9
眼泪	10
讨厌	11
车辆	12
出厂	13
漏油	14
概念	15
安全隐患	16
严查	17
表态	18
说	19
中了	20
搞	21
兄弟	22
水	23
太深	24
一己之力	25
对抗	26
很不	27
政府	28
维权	29
天下大乱	30
找到	31
补偿	32
几亿	33
新闻	34
车主	35
可能会	36
退一	37
赔二	38
跟你说	39
我给你	40
退一赔	41
但你	42
要跟	43
网友	44
更换	45
赔偿	46
就成了	47
标准	48
收了	49
钱	50
自然	51
做事	52
都是	53
意淫	54
享	55
骑单车	56
押金	57
退	58
啥时候	59
专项	60
打击	61
不戴眼镜	62
就别	63
玩	64
手机啊	65
好好	66
睡觉啊	67
这条	68
谁说	69
不是你	70
去说	71
杠精	72
我不是	73
你这样	74
说我	75
我才	76
激动	77
随你怎么	78
一条	79
我不	80
开微博	81
费电	82
我怎么	83
知道你	84
买车	85
雷劈	86
真的	87
我只是	88
告诉你	89
杠精会	90
你又不是	91
你干嘛	92
对号入座	93
晚上睡觉	94
戴眼镜	95
第一句话	96
还玩手机	97
评论	98
你看	99
还把	100
生气了	101
你一生气	102
久	103
逻辑	104
混乱	105
乱说	106
人了	107
什么时候	108
你了	109
我能	110
我都	111
承认	112
对了	113
你还	114
想	115
吵架	116
我看你	117
挺爽	118
清晰	119
得很	120
骂了	121
很生气	122
那你说我	123
我就	124
爽咯	125
瞎	126
我的错	127
咯	128
骂我	129
不爽	130
都说	131
窝	132
你来	133
攻击	134
你又	135
关你屁事	136
的是	137
关你什么事	138
点错	139
不行	140
不行啊	141
我又	142
和你	143
说话	144
你先	145
问题是	146
我呢	147
你不	148
我理	149
你啊	150
那我说	151
迁出	152
不明	153
收费	154
有错	155
我说	156
关系	157
干嘛	158
手续费	159
不收	160
就不	161
是这样吗	162
这么闲	163
我要	164
不找	165
机器人	166
跟你	167
争个	168
够	169
事情	170
过了	171
我不想	172
争辩	173
不叫	174
律师	175
发	176
律师函	177
感谢	178
你说的	179
年纪	180
语言	181
功出	182
优越感	183
你叫	184
街	185
ok	186
那笔	187
费用	188
没关系	189
词穷	190
吃饱了	191
撑	192
你多	193
关我屁事	194
质疑	195
这些问题	196
女	197
问	198
